periodname,MOH 505 Rev 2020_Malaria mRDT Positive,MOH 505 Rev 2020_Malaria Microscopy Positive,Combined positive
Week 1 2018-12-31 - 2019-01-06,0,66,66
Week 2 2019-01-07 - 2019-01-13,0,110,110
Week 3 2019-01-14 - 2019-01-20,0,73,73
Week 4 2019-01-21 - 2019-01-27,0,70,70
Week 5 2019-01-28 - 2019-02-03,0,48,48
Week 6 2019-02-04 - 2019-02-10,0,44,44
Week 7 2019-02-11 - 2019-02-17,0,56,56
Week 8 2019-02-18 - 2019-02-24,0,78,78
Week 9 2019-02-25 - 2019-03-03,0,10,10
Week 10 2019-03-04 - 2019-03-10,0,32,32
Week 11 2019-03-11 - 2019-03-17,0,52,52
Week 12 2019-03-18 - 2019-03-24,0,17,17
Week 13 2019-03-25 - 2019-03-31,0,13,13
Week 14 2019-04-01 - 2019-04-07,0,4,4
Week 15 2019-04-08 - 2019-04-14,0,13,13
Week 16 2019-04-15 - 2019-04-21,0,13,13
Week 17 2019-04-22 - 2019-04-28,0,13,13
Week 18 2019-04-29 - 2019-05-05,0,13,13
Week 19 2019-05-06 - 2019-05-12,0,39,39
Week 20 2019-05-13 - 2019-05-19,0,46,46
Week 21 2019-05-20 - 2019-05-26,0,51,51
Week 22 2019-05-27 - 2019-06-02,0,27,27
Week 23 2019-06-03 - 2019-06-09,0,24,24
Week 24 2019-06-10 - 2019-06-16,0,28,28
Week 25 2019-06-17 - 2019-06-23,0,86,86
Week 26 2019-06-24 - 2019-06-30,0,308,308
Week 27 2019-07-01 - 2019-07-07,0,375,375
Week 28 2019-07-08 - 2019-07-14,0,436,436
Week 29 2019-07-15 - 2019-07-21,0,444,444
Week 30 2019-07-22 - 2019-07-28,0,452,452
Week 31 2019-07-29 - 2019-08-04,0,402,402
Week 32 2019-08-05 - 2019-08-11,0,604,604
Week 33 2019-08-12 - 2019-08-18,0,"1,102","1,102"
Week 34 2019-08-19 - 2019-08-25,0,"1,498","1,498"
Week 35 2019-08-26 - 2019-09-01,0,"1,665","1,665"
Week 36 2019-09-02 - 2019-09-08,0,"1,883","1,883"
Week 37 2019-09-09 - 2019-09-15,0,"1,260","1,260"
Week 38 2019-09-16 - 2019-09-22,0,"1,116","1,116"
Week 39 2019-09-23 - 2019-09-29,0,"1,071","1,071"
Week 40 2019-09-30 - 2019-10-06,0,742,742
Week 41 2019-10-07 - 2019-10-13,0,494,494
Week 42 2019-10-14 - 2019-10-20,0,356,356
Week 43 2019-10-21 - 2019-10-27,0,437,437
Week 44 2019-10-28 - 2019-11-03,0,412,412
Week 45 2019-11-04 - 2019-11-10,0,543,543
Week 46 2019-11-11 - 2019-11-17,0,612,612
Week 47 2019-11-18 - 2019-11-24,0,"1,719","1,719"
Week 48 2019-11-25 - 2019-12-01,0,"1,020","1,020"
Week 49 2019-12-02 - 2019-12-08,0,692,692
Week 50 2019-12-09 - 2019-12-15,0,562,562
Week 51 2019-12-16 - 2019-12-22,0,581,581
Week 52 2019-12-23 - 2019-12-29,0,"1,002","1,002"
Week 1 2019-12-30 - 2020-01-05,0,914,914
