periodname,week_start,week_end,Combined positive,temp_c,rh_pct,rain_mm,wind10_kmh,soil_moisture_top_m3m3
Week 1 2018-12-31 - 2019-01-06,2018-12-31,2019-01-06,66,30.115476190476187,38.166666666666664,0.0,20.39702380952381,0.027898809523809527
Week 2 2019-01-07 - 2019-01-13,2019-01-07,2019-01-13,110,30.488690476190477,24.785714285714285,0.0,20.902380952380952,0.02551785714285714
Week 3 2019-01-14 - 2019-01-20,2019-01-14,2019-01-20,73,30.72738095238095,31.047619047619047,0.0,15.03452380952381,0.021023809523809524
Week 4 2019-01-21 - 2019-01-27,2019-01-21,2019-01-27,70,31.342857142857145,28.553571428571427,0.0,19.123809523809523,0.01925
Week 5 2019-01-28 - 2019-02-03,2019-01-28,2019-02-03,48,31.21547619047619,28.142857142857142,0.0,21.282738095238095,0.021952380952380952
Week 6 2019-02-04 - 2019-02-10,2019-02-04,2019-02-10,44,31.78690476190476,29.416666666666668,0.0,25.648809523809526,0.025648809523809525
Week 7 2019-02-11 - 2019-02-17,2019-02-11,2019-02-17,56,31.594642857142855,32.57738095238095,0.0,22.511309523809523,0.022875
Week 8 2019-02-18 - 2019-02-24,2019-02-18,2019-02-24,78,31.28988095238095,36.208333333333336,1.6,15.057738095238093,0.02336309523809524
Week 9 2019-02-25 - 2019-03-03,2019-02-25,2019-03-03,10,30.93809523809524,35.464285714285715,3.2,13.702380952380953,0.030059523809523807
Week 10 2019-03-04 - 2019-03-10,2019-03-04,2019-03-10,32,31.245833333333334,35.208333333333336,2.0,12.773214285714285,0.027720238095238096
Week 11 2019-03-11 - 2019-03-17,2019-03-11,2019-03-17,52,31.823809523809523,31.107142857142858,0.0,19.817857142857143,0.024273809523809524
Week 12 2019-03-18 - 2019-03-24,2019-03-18,2019-03-24,17,32.55357142857143,30.577380952380953,0.0,21.242261904761904,0.02561904761904762
Week 13 2019-03-25 - 2019-03-31,2019-03-25,2019-03-31,13,31.29285714285714,42.464285714285715,1.1,15.620238095238093,0.03386309523809524
Week 14 2019-04-01 - 2019-04-07,2019-04-01,2019-04-07,4,32.07083333333333,36.82142857142857,0.0,21.72142857142857,0.024660714285714286
Week 15 2019-04-08 - 2019-04-14,2019-04-08,2019-04-14,13,31.59940476190476,41.029761904761905,1.7000000000000002,15.030357142857142,0.02669047619047619
Week 16 2019-04-15 - 2019-04-21,2019-04-15,2019-04-21,13,32.44404761904762,35.69047619047619,0.2,15.78452380952381,0.027273809523809523
